Time_Period,Sample_Count,Status,Baseline_Macro_F1,Proposed_Macro_F1,Proposed_Accuracy,Delta_Macro_F1
<= 2010,357,VALID_EVALUATION,0.3375784898827703,0.44211760340285233,0.5238095238095238,0.10453911352008205
2011-2015,99,VALID_EVALUATION,0.4056348669251895,0.4313069479736147,0.5353535353535354,0.025672081048425166
2016-2018,70,VALID_EVALUATION,0.4222943722943723,0.4772333410014569,0.5,0.054938968707084646
2019-2020,54,VALID_EVALUATION,0.29886150886150886,0.3689562289562289,0.48148148148148145,0.07009472009472006
>= 2021,188,VALID_EVALUATION,0.34035276251385405,0.4235321841125206,0.5,0.08317942159866654
