genre,baseline_precision,baseline_recall,baseline_f1,proposed_precision,proposed_recall,proposed_f1,support,f1_delta
POP_BALLAD,0.8576158940397351,0.5692307692307692,0.6842800528401585,0.818407960199005,0.7230769230769231,0.7677946324387398,455,0.08351457959858133
BOLERO_TRUTINH,0.5922330097087378,0.5041322314049587,0.5446428571428571,0.6063829787234043,0.47107438016528924,0.5302325581395348,121,-0.014410299003322247
INSTRUMENTAL,0.25806451612903225,0.37209302325581395,0.3047619047619048,0.22807017543859648,0.3023255813953488,0.26,43,-0.04476190476190478
RAP_HIPHOP,0.21818181818181817,0.36363636363636365,0.2727272727272727,0.4166666666666667,0.15151515151515152,0.2222222222222222,33,-0.0505050505050505
FOLK_TRADITIONAL,0.05555555555555555,0.03333333333333333,0.041666666666666664,0.07142857142857142,0.03333333333333333,0.045454545454545456,30,0.0037878787878787915
DANCE_EDM,0.07547169811320754,0.13793103448275862,0.0975609756097561,0.07692307692307693,0.06896551724137931,0.07272727272727272,29,-0.024833702882483377
REVOLUTIONARY,0.75,0.11538461538461539,0.2,1.0,0.038461538461538464,0.07407407407407407,26,-0.12592592592592594
NHAC_TRINH,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0
ROCK,0.10240963855421686,0.85,0.1827956989247312,0.0,0.0,0.0,20,-0.1827956989247312
RB_SOUL,0.0,0.0,0.0,0.10843373493975904,0.9,0.1935483870967742,20,0.1935483870967742
OTHER,0.046511627906976744,0.13333333333333333,0.06896551724137931,0.025,0.06666666666666667,0.03636363636363636,15,-0.03260188087774295
CHILDREN,0.2727272727272727,0.42857142857142855,0.3333333333333333,0.3125,0.35714285714285715,0.3333333333333333,14,0.0
