Split,Baseline_Mean,Baseline_95CI_Lower,Baseline_95CI_Upper,Proposed_Mean,Proposed_95CI_Lower,Proposed_95CI_Upper,Significant_Overlap
iid,0.2557544505696807,0.21745396656505664,0.29230653948167207,0.2595687719082537,0.21628901675385437,0.3000665433673547,True
artist_disjoint,0.5671490479962967,0.521714687825715,0.6069760955270673,0.5660515276930386,0.5180273660382292,0.6144613217453069,True
missing_modality,0.5397759657960753,0.5134116577701926,0.5650837250055915,0.5645876191256304,0.537917722219503,0.5907071800146231,True
label_shift,0.5862072607662792,0.5547280775840859,0.6191363327843485,0.6096736686269824,0.5760992735348511,0.6422792011634576,True
temporal,0.3363163449387352,0.27305069573690066,0.3976519795572687,0.41906197283147917,0.3551699930992886,0.4852544917562388,True
