song_id,title,artist,genre,tier,has_audio_url,has_physical_audio,audio_size_bytes,audio_sha256,has_cover_url,has_physical_cover,cover_size_bytes,cover_sha256,has_physical_lyrics,lyrics_size_bytes,lyrics_words,lyrics_sha256,release_year
RMVM_S_654f9562aa,Bức Thư Anh Chưa Gửi,"The Men, Quốc Cường",POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,2138,383,d204899a775568e326e76c2d35a3f2a894594774f662dbfb2898c4df16c76498,
RMVM_S_a72977a4a2,Dáng Xưa,Hoàng Chiến,BOLERO_TRUTINH,TIER_A,True,False,0,,False,False,0,,True,2065,360,e1a0a5b540b639d317370d8d46c7e5cd426825c3997f2fcfd7692ae9c3996818,
RMVM_S_dcaf0e5c88,Phút Giây Nồng Say,Vân Quang Long,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,2469,441,3378f52470d0ad042ebf48d800f13c5c37e263ac715328611e46b2bc2c689a7b,
RMVM_S_e1745704dd,"Liên Khúc Trống Vắng,Tình Cờ,Một Thời Đã Xa",Phương Thanh,BOLERO_TRUTINH,TIER_A,True,False,0,,False,False,0,,True,3771,676,143166011c50d249452b2dc3c811c62d180b4d5593fa197c8dfb549a278d55a7,
RMVM_S_b04c16461a,Anh Chải Tóc Cho Em,Triệu Lộc,BOLERO_TRUTINH,TIER_A,True,False,0,,False,False,0,,True,1853,331,cee8f325b21f1bd7c6dd79bf9943d5f3a59c63f1ac3d5e9f403480b5fffbb65c,
RMVM_S_60599ba98a,1001 Lý Do,Thành Đạt,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,2241,381,f4c54d1914b0864b287d32d2334c6d1aa3ded714e5f7079d261b5d28e0372385,
RMVM_S_72f8134bbb,Đỡ Buồn Chiều Mưa,Mai Tiến Đạt,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,1856,326,3f858cc2c61b3366794a1de9c7588c33ecd64a90bb71d3e82f8d508164f8e299,
RMVM_S_436ef7ad22,Nắng Lụa Vàng,Phương Thùy (Nhóm Phù Sa),BOLERO_TRUTINH,TIER_A,True,False,0,,False,False,0,,True,1901,316,76e25d9595ff5d10b75442e625119f5e9f2d21d61e3015f45596d9f27b2ee817,
RMVM_S_e6e381cc46,Cảm Thông Để Không Hối Tiếc,Trường Kha,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,2081,372,cc1dee78ed1aadb77491c077edb687155ddb4583509ab70d6db113126edc50ca,
RMVM_S_98be82fcd4,Chiều Quê Kỷ Niệm,Bích Tuyền,BOLERO_TRUTINH,TIER_A,True,False,0,,False,False,0,,True,1906,320,d78f7631d9a59a017ea40574e54760a449b4d46034e383977db5e53a8752fdd1,
RMVM_S_44a71aac7c,Nếu Anh Không Phiền,"Kaity Nguyễn, SoHo",POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,2414,424,358b786bfba1fd39c577b481cc501ed1eda0f7f1842828c8c8f2d361ebbfb32c,
RMVM_S_3f8d832a9a,Mây Tình Yêu,Gia Huy,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,2034,345,a977637034efd591de6be876355ddcb67fad4f853d535fa5c6865cf267e30137,
RMVM_S_745b334b6d,Giai Điệu Dành Cho Em,Thiệu Tân,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,2457,447,dcecdac42628a4d6e33fc3a55a3b0f48d975590c429fc08747108a8b872ee0f8,
RMVM_S_807516e3d3,Dù Người Đã Xa,Uyên Trang,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,2753,498,0f56c5fb464c2359d8b86386f4dbcc9638692f4e280255300da5f5fabe14a9f7,
RMVM_S_7a4d15a4fc,LK Hoa Cỏ Mùa Xuân,Nhất Vũ,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,1237,218,9470132b14baad279033763495fd8e1dfe7dbb2f194ed15be2afb58058a00a41,
RMVM_S_cbd719a6ad,Nhớ Mùa Thu Hà Nội,Trịnh Vĩnh Trinh,NHAC_TRINH,TIER_B,True,False,0,,False,False,0,,True,1511,268,f3dc59c11e833b8f5eb6c3249f379345677a08c453d755e9a3b7001ea9ead4e2,
RMVM_S_6b5e0b16c9,Chỉ Mua Bằng Tiền,Vương Nam Phong,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,1798,312,a6a8b6a33d54b2f1184a1eac69b273c65429de23e0b37ed3b4e15ee10fd68a24,
RMVM_S_65836e37bc,Lá Thư Người Tình,Thiên Kim,INSTRUMENTAL,TIER_B,True,False,0,,False,False,0,,True,1113,198,495bb10bf169c7095837b449e4386fe778b455686fc71cf5293c264a19ccf274,
RMVM_S_f6db4b2a54,Yêu Anh Dịu Dàng,Như Loan,INSTRUMENTAL,TIER_B,True,False,0,,False,False,0,,True,1746,338,85ce00e5ae52db473a1a54d70b7ea9c2b4bf7ce8ecdd4de4062520344c63d327,
RMVM_S_6ecf3ff671,Cứ Mặc Anh Đau (Beat),Lâm Triệu Vỹ,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,2468,420,2089e11cce5b102d7db65f6076eb3137618f5cd445ecbbea819dbafadeabeae8,
RMVM_S_383f5d7442,Liên Khúc Đêm Buồn Phố Thị,Hoàng Tú Minh,BOLERO_TRUTINH,TIER_A,True,False,0,,False,False,0,,True,2213,375,94fa9183f5584fc016485486150064ee0b86798fc1ab51b80a4f4a2ce1a92314,
RMVM_S_7a7e099ab7,Con Nào Thấu Hiểu,Thành Big,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,2387,414,be2db27c44f61eed295e33483d7790e6f64b432dff702e0609d48538996125fd,
RMVM_S_295e56378f,Trường Vinh Xuân Thân Yêu,Quang Thành,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,2538,426,cfc9b08f9dd322a090318ba9d3a40fbbda28ccbe5d0849a2826af00d61d2f728,
RMVM_S_15f638c594,Chiều Thu Hẹn Ước,Bùi Tuyết Mai,BOLERO_TRUTINH,TIER_A,True,False,0,,False,False,0,,True,1799,298,b9b689324eff3b107ceb5bf05898d10bd1fe83b383e5cc58cf9046d2f687c73f,
RMVM_S_da88a2d235,Chiều Nghe Biển Hát,Ngọc Huệ,INSTRUMENTAL,TIER_B,True,False,0,,False,False,0,,True,1484,245,765e65a194f929bf755f8f91345e7204a844f3ba0d63cdc7a7aefb40b7d25047,
RMVM_S_83d105d1fc,Em Mong Chờ Anh,Mắt Ngọc,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,1795,340,665ff789a0bddff8a9973cdeff5cc64613b5186d0bd5fda085e7df47f36a306d,
RMVM_S_9b89c61cd5,Công Chúa Ngủ Trong Rừng,Trương Quỳnh Anh,POP_BALLAD,TIER_A,True,False,0,,False,False,0,,True,712,126,1961f5e168625c100ca71790f5234c223b20808b660d3af19a920b122dd840f4,
