split,baseline_accuracy_mean,baseline_accuracy_std,baseline_macro_f1_mean,baseline_macro_f1_std,proposed_accuracy_mean,proposed_accuracy_std,proposed_macro_f1_mean,proposed_macro_f1_std,macro_f1_delta
IID,0.4954106280193237,0.024696812625355103,0.22542674559048037,0.007965734739488622,0.5258454106280194,0.02103807882890499,0.20673939198136404,0.012425162366587948,-0.01868735360911633
Artist Disjoint,0.5060386473429952,0.014712504669411656,0.20031725341259482,0.016284870185763557,0.5024154589371981,0.03000423939488967,0.20022544518336352,0.015037501785534953,-9.180822923129939e-05
Temporal,0.17684210526315788,0.10503132364855933,0.09538652571665525,0.017249695646103517,0.24526315789473685,0.11345005124469455,0.10726125592489866,0.01788829764291802,0.011874730208243409
Label Shift,0.4241711229946524,0.003862132638559957,0.21841456990612493,0.009591423905401887,0.41711229946524064,0.012869825845126274,0.21425800250185603,0.010401521495633583,-0.004156567404268896
