song_id,title,artist,artist_id,album,album_id,source_genre,genre,label_source,tier,release_year,release_year_source,audio_path,audio_url,lyrics,cover_path,cover_url,source,source_id,annotation_status,annotator_id,annotation_agreement,rejection_reason
,Anh Không Là Bầu Trời,,,,,,,,,,,,,,,,vietlyrics,ZW7UCA7A,,,,MISSING_TITLE_OR_ARTIST
,Anh Là Sinh Viên,,,,,,,,,,,,,,,,vietlyrics,Z6O7OW7O,,,,MISSING_TITLE_OR_ARTIST
,Anh Lại Nhớ,,,,,,,,,,,,,,,,vietlyrics,ZW7UC6DD,,,,MISSING_TITLE_OR_ARTIST
,Anh Muốn Quay Lại,,,,,,,,,,,,,,,,vietlyrics,ZW6ZCA0D,,,,MISSING_TITLE_OR_ARTIST
,Anh Ru Em Ngủ,,,,,,,,,,,,,,,,vietlyrics,ZWZA0989,,,,MISSING_TITLE_OR_ARTIST
,Anh Sẽ Giả Vờ,,,,,,,,,,,,,,,,vietlyrics,ZW77FUBF,,,,MISSING_TITLE_OR_ARTIST
,Anh Vẫn Cố Giả Vờ,,,,,,,,,,,,,,,,vietlyrics,ZW7UD8WW,,,,MISSING_TITLE_OR_ARTIST
,Anh Vẫn Yêu,,,,,,,,,,,,,,,,vietlyrics,ZW78IZWU,,,,MISSING_TITLE_OR_ARTIST
,Anh Đi Nhé (Remix),,,,,,,,,,,,,,,,vietlyrics,ZW78WAFU,,,,MISSING_TITLE_OR_ARTIST
,Anh Đâu Có Khờ,,,,,,,,,,,,,,,,vietlyrics,ZW78WFUZ,,,,MISSING_TITLE_OR_ARTIST
,Anh Đã Yêu Người MỚi,,,,,,,,,,,,,,,,vietlyrics,Z69AE6CD,,,,MISSING_TITLE_OR_ARTIST
,Anh Đưa Em Về Phố Xa,,,,,,,,,,,,,,,,vietlyrics,ZW78W8F7,,,,MISSING_TITLE_OR_ARTIST
,Ba Kể Con Nghe (Acoustic Cover),,,,,,,,,,,,,,,,vietlyrics,ZW7UACEA,,,,MISSING_TITLE_OR_ARTIST
,Ba Mẹ Đi Xa,,,,,,,,,,,,,,,,vietlyrics,ZW78WC9U,,,,MISSING_TITLE_OR_ARTIST
,Baby Đến Bên Em Đi,,,,,,,,,,,,,,,,vietlyrics,ZW7UF0IO,,,,MISSING_TITLE_OR_ARTIST
,Bao Giờ Người Trở Lại,,,,,,,,,,,,,,,,vietlyrics,ZWZ9ZIB8,,,,MISSING_TITLE_OR_ARTIST
,Biết Khóc Với Ai,,,,,,,,,,,,,,,,vietlyrics,ZW78I798,,,,MISSING_TITLE_OR_ARTIST
,Biết Yêu Khi Nào,,,,,,,,,,,,,,,,vietlyrics,ZWZCUW0C,,,,MISSING_TITLE_OR_ARTIST
,Biết Đâu Nguồn Cội,,,,,,,,,,,,,,,,vietlyrics,ZWZA0OBB,,,,MISSING_TITLE_OR_ARTIST
,Biển Và Cát,,,,,,,,,,,,,,,,vietlyrics,ZW78IFFC,,,,MISSING_TITLE_OR_ARTIST
,Buồn Con Chim Sáo,,,,,,,,,,,,,,,,vietlyrics,ZWZDC988,,,,MISSING_TITLE_OR_ARTIST
,Buồn Trong Kỷ Niệm,,,,,,,,,,,,,,,,vietlyrics,Z7Z6BF99,,,,MISSING_TITLE_OR_ARTIST
,Bài Ca Người Nữ Tự Vệ Sài Gòn,,,,,,,,,,,,,,,,vietlyrics,ZWZCDAC0,,,,MISSING_TITLE_OR_ARTIST
,Bài Tango Xa Rồi,,,,,,,,,,,,,,,,vietlyrics,ZZ96EW8I,,,,MISSING_TITLE_OR_ARTIST
,Bâng Khuâng Chiều Nội Trú,,,,,,,,,,,,,,,,vietlyrics,ZW6Z0BUU,,,,MISSING_TITLE_OR_ARTIST
,Bình Yên Sáng,,,,,,,,,,,,,,,,vietlyrics,ZW77FODZ,,,,MISSING_TITLE_OR_ARTIST
,Bình Yên Từ Trái Tim Tôi,,,,,,,,,,,,,,,,vietlyrics,ZWZ9ZWF0,,,,MISSING_TITLE_OR_ARTIST
,Bói Tình Yêu,,,,,,,,,,,,,,,,vietlyrics,ZWZA6FEU,,,,MISSING_TITLE_OR_ARTIST
,Bóng Mát,,,,,,,,,,,,,,,,vietlyrics,Z7ODBB09,,,,MISSING_TITLE_OR_ARTIST
,Bóng Mẹ Bên Đời,,,,,,,,,,,,,,,,vietlyrics,ZW77F6IA,,,,MISSING_TITLE_OR_ARTIST
,Bông Lục Bình,,,,,,,,,,,,,,,,vietlyrics,ZW78WBCO,,,,MISSING_TITLE_OR_ARTIST
,Bước Chân Trong Mưa,,,,,,,,,,,,,,,,vietlyrics,ZWZ9976U,,,,MISSING_TITLE_OR_ARTIST
,Bước Qua Thế Giới (Remix),,,,,,,,,,,,,,,,vietlyrics,ZW7UAI60,,,,MISSING_TITLE_OR_ARTIST
